id,query,state,expected_clause_id,category,notes
1,How much money will I get every year under PM-KISAN?,,pmkisan-2,answerable,
2,"I have farmland in my name, can I apply for PM-KISAN?",,pmkisan-3.1,answerable,
3,"I paid income tax last year, can I still get PM-KISAN money?",,pmkisan-4.4,answerable,
4,"My company owns the farmland, not me personally, do we qualify for PM-KISAN?",,pmkisan-4.1,answerable,
5,What is the total health insurance cover under Ayushman Bharat PM-JAY?,,pmjay-III,answerable,
6,"I live in a village and I'm very poor, am I covered under PM-JAY?",,pmjay-3.1,answerable,
7,How does the government check if I'm eligible for PM-JAY?,,pmjay-7,answerable,reworded from a government-job-exclusion query after that clause was dropped from the corpus for lack of a real source
8,How much pension will I get monthly if I'm 65 years old under the central old age scheme?,,nsap-2.3,answerable,
9,Do I need to be below the poverty line to get the old age pension?,,nsap-2.3,answerable,
10,"I already get a pension from another government scheme, can I also get IGNOAPS?",,nsap-2.4.3,answerable,
11,How much money do I get to build a house under PMAY-G in the plains?,,pmayg-5.1.1,answerable,
12,"I live in a hilly area, how much housing assistance will I get under PMAY-Gramin?",,pmayg-5.1.1,answerable,
13,"I already own a pucca house, can I still apply for PMAY-Gramin?",,pmayg-annexureI,answerable,
14,"I own a motorbike, does that disqualify me from PMAY-Gramin housing assistance?",,pmayg-annexureI,answerable,
15,How much monthly pension do elderly people get under the Tamil Nadu old age pension scheme?,Tamil Nadu,tnoap-2,answerable,
16,"I am 62 and live in Tamil Nadu, am I old enough for the state old age pension?",Tamil Nadu,tnoap-3.1,answerable,
17,What is the total health insurance cover I can get under the Tamil Nadu CMCHIS scheme?,Tamil Nadu,cmchis-2,answerable,replaces a Magalir Urimai row after that scheme was dropped and swapped for CMCHIS
18,"My name is on my family's ration card in Tamil Nadu, do I qualify for CMCHIS?",Tamil Nadu,cmchis-3.2,answerable,replaces a Magalir Urimai row after that scheme was dropped and swapped for CMCHIS
19,"My family's annual income is Rs 90,000, am I eligible for CMCHIS?",Tamil Nadu,cmchis-3.3,answerable,replaces a Magalir Urimai row after that scheme was dropped and swapped for CMCHIS
20,"I work as a street vendor in a city, am I covered under PM-JAY?",,pmjay-3.2,answerable,
